SO THU TU: 1
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-0.785398,0.785398,1.5708,4.22511,-4.45614e-16,0.165111,
-1.5708,0.785398,1.5708,14.0452,9.9717,-0.970924,
0,0.785398,1.5708,10.3292,8.9277,0.219949,
1.0472,0.785398,1.5708,0.00424134,-0.0216,0.0129414,
1.0472,0.785398,1.5708,0.00792887,0.0072,0.00189281,
1.0472,0.785398,1.5708,0.000249408,0,3.37053e-05,
Inertia Matrix
1.88827,0.694879,0.00355529,0,-0.00146886,0,
0.694879,2.13825,0.379715,-0.0010085,0,0,
0.00355529,0.379715,0.369296,-0.0010085,0.000581345,0,
0,-0.0010085,-0.0010085,0.0107916,0,0,
-0.00146886,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 9
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-0.785398,0.785398,1.5708,3.22144,2.32353e-16,-0.299491,
-1.5708,0.785398,1.5708,10.5169,7.52745,-0.600362,
0.785398,0.785398,1.5708,7.33768,6.48345,0.262509,
1.0472,0.785398,1.5708,0.0212515,-0.0152735,0.0100029,
1.0472,0.785398,1.5708,-0.010583,-0.0125452,0.00244827,
1.0472,0.785398,1.5708,0.000229821,0,-1.27468e-07,
Inertia Matrix
1.73639,0.595051,-0.0962733,0.00743039,-0.00113294,0,
0.595051,1.58697,0.104075,0,0,0,
-0.0962733,0.104075,0.369296,-0.0010085,0.000581345,0,
0.00743039,0,-0.0010085,0.0107916,0,0,
-0.00113294,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 10
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
-0.785398,0.785398,1.5708,3.09416,1.64979e-17,-0.0253763,
-1.5708,0.785398,1.5708,4.21713,1.28528,-0.0244766,
1.5708,0.785398,1.5708,0.582566,0.241279,0.00672092,
1.0472,0.785398,1.5708,0.0344582,-7.63614e-19,0.00175784,
1.0472,0.785398,1.5708,-0.0204659,-0.0249415,0.00233836,
1.0472,0.785398,1.5708,0.000198543,0,-2.13683e-05,
Inertia Matrix
1.56307,0.551618,-0.139706,0.0110904,0,0,
0.551618,1.34641,-0.0162016,0,0.000270449,0,
-0.139706,-0.0162016,0.369296,-0.0010085,0.000581345,0,
0.0110904,0,-0.0010085,0.0107916,0,0,
0,0.000270449,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 11
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0,0.785398,1.5708,3.92475,4.09842e-17,-0.0380992,
-1.5708,0.785398,1.5708,7.85151,0.802721,0.0222864,
-1.5708,0.785398,1.5708,1.74045,-0.241279,-0.00281025,
1.0472,0.785398,1.5708,-0.00640275,-7.387e-19,-0.00133147,
1.0472,0.785398,1.5708,0.0285012,0.0249415,2.67539e-05,
1.0472,0.785398,1.5708,0.000221185,0,6.4105e-05,
Inertia Matrix
1.56307,0.83103,0.139706,-0.0110904,0.000133352,0,
0.83103,2.88841,0.754795,-0.00194119,0.000892241,0,
0.139706,0.754795,0.369296,-0.0010085,0.000581345,0,
-0.0110904,-0.00194119,-0.0010085,0.0107916,0,0,
0.000133352,0.000892241,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 12
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0,0.785398,1.5708,4.57662,-1.46648e-15,0.493055,
-1.5708,0.785398,1.5708,12.8862,7.18623,-0.767896,
-0.785398,0.785398,1.5708,7.95583,6.14223,0.0551688,
1.0472,0.785398,1.5708,-0.00701947,-0.0152735,0.00844051,
1.0472,0.785398,1.5708,0.0238502,0.0227275,0.000621888,
1.0472,0.785398,1.5708,0.000245831,0,6.03113e-05,
Inertia Matrix
1.71495,0.792625,0.101301,-0.00825382,0,0,
0.792625,2.67732,0.649252,-0.00166801,0,0,
0.101301,0.649252,0.369296,-0.0010085,0.000581345,0,
-0.00825382,-0.00166801,-0.0010085,0.0107916,0,0,
0,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 13
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0,0.785398,1.5708,4.22511,-4.45614e-16,0.165111,
-1.5708,0.785398,1.5708,14.0452,9.9717,-0.970924,
0,0.785398,1.5708,10.3292,8.9277,0.219949,
1.0472,0.785398,1.5708,0.00424134,-0.0216,0.0129414,
1.0472,0.785398,1.5708,0.00792887,0.0072,0.00189281,
1.0472,0.785398,1.5708,0.000249408,0,3.37053e-05,
Inertia Matrix
1.88827,0.694879,0.00355529,0,-0.00146886,0,
0.694879,2.13825,0.379715,-0.0010085,0,0,
0.00355529,0.379715,0.369296,-0.0010085,0.000581345,0,
0,-0.0010085,-0.0010085,0.0107916,0,0,
-0.00146886,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 14
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0,0.785398,1.5708,3.22144,2.32353e-16,-0.299491,
-1.5708,0.785398,1.5708,10.5169,7.52745,-0.600362,
0.785398,0.785398,1.5708,7.33768,6.48345,0.262509,
1.0472,0.785398,1.5708,0.0212515,-0.0152735,0.0100029,
1.0472,0.785398,1.5708,-0.010583,-0.0125452,0.00244827,
1.0472,0.785398,1.5708,0.000229821,0,-1.27468e-07,
Inertia Matrix
1.73639,0.595051,-0.0962733,0.00743039,-0.00113294,0,
0.595051,1.58697,0.104075,0,0,0,
-0.0962733,0.104075,0.369296,-0.0010085,0.000581345,0,
0.00743039,0,-0.0010085,0.0107916,0,0,
-0.00113294,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 15
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0,0.785398,1.5708,3.09416,1.64979e-17,-0.0253763,
-1.5708,0.785398,1.5708,4.21713,1.28528,-0.0244766,
1.5708,0.785398,1.5708,0.582566,0.241279,0.00672092,
1.0472,0.785398,1.5708,0.0344582,-7.63614e-19,0.00175784,
1.0472,0.785398,1.5708,-0.0204659,-0.0249415,0.00233836,
1.0472,0.785398,1.5708,0.000198543,0,-2.13683e-05,
Inertia Matrix
1.56307,0.551618,-0.139706,0.0110904,0,0,
0.551618,1.34641,-0.0162016,0,0.000270449,0,
-0.139706,-0.0162016,0.369296,-0.0010085,0.000581345,0,
0.0110904,0,-0.0010085,0.0107916,0,0,
0,0.000270449,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 16
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0.785398,0.785398,1.5708,3.92475,4.09842e-17,-0.0380992,
-1.5708,0.785398,1.5708,7.85151,0.802721,0.0222864,
-1.5708,0.785398,1.5708,1.74045,-0.241279,-0.00281025,
1.0472,0.785398,1.5708,-0.00640275,-7.387e-19,-0.00133147,
1.0472,0.785398,1.5708,0.0285012,0.0249415,2.67539e-05,
1.0472,0.785398,1.5708,0.000221185,0,6.4105e-05,
Inertia Matrix
1.56307,0.83103,0.139706,-0.0110904,0.000133352,0,
0.83103,2.88841,0.754795,-0.00194119,0.000892241,0,
0.139706,0.754795,0.369296,-0.0010085,0.000581345,0,
-0.0110904,-0.00194119,-0.0010085,0.0107916,0,0,
0.000133352,0.000892241,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 17
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0.785398,0.785398,1.5708,4.57662,-1.46648e-15,0.493055,
-1.5708,0.785398,1.5708,12.8862,7.18623,-0.767896,
-0.785398,0.785398,1.5708,7.95583,6.14223,0.0551688,
1.0472,0.785398,1.5708,-0.00701947,-0.0152735,0.00844051,
1.0472,0.785398,1.5708,0.0238502,0.0227275,0.000621888,
1.0472,0.785398,1.5708,0.000245831,0,6.03113e-05,
Inertia Matrix
1.71495,0.792625,0.101301,-0.00825382,0,0,
0.792625,2.67732,0.649252,-0.00166801,0,0,
0.101301,0.649252,0.369296,-0.0010085,0.000581345,0,
-0.00825382,-0.00166801,-0.0010085,0.0107916,0,0,
0,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 18
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0.785398,0.785398,1.5708,4.22511,-4.45614e-16,0.165111,
-1.5708,0.785398,1.5708,14.0452,9.9717,-0.970924,
0,0.785398,1.5708,10.3292,8.9277,0.219949,
1.0472,0.785398,1.5708,0.00424134,-0.0216,0.0129414,
1.0472,0.785398,1.5708,0.00792887,0.0072,0.00189281,
1.0472,0.785398,1.5708,0.000249408,0,3.37053e-05,
Inertia Matrix
1.88827,0.694879,0.00355529,0,-0.00146886,0,
0.694879,2.13825,0.379715,-0.0010085,0,0,
0.00355529,0.379715,0.369296,-0.0010085,0.000581345,0,
0,-0.0010085,-0.0010085,0.0107916,0,0,
-0.00146886,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 19
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0.785398,0.785398,1.5708,3.22144,2.32353e-16,-0.299491,
-1.5708,0.785398,1.5708,10.5169,7.52745,-0.600362,
0.785398,0.785398,1.5708,7.33768,6.48345,0.262509,
1.0472,0.785398,1.5708,0.0212515,-0.0152735,0.0100029,
1.0472,0.785398,1.5708,-0.010583,-0.0125452,0.00244827,
1.0472,0.785398,1.5708,0.000229821,0,-1.27468e-07,
Inertia Matrix
1.73639,0.595051,-0.0962733,0.00743039,-0.00113294,0,
0.595051,1.58697,0.104075,0,0,0,
-0.0962733,0.104075,0.369296,-0.0010085,0.000581345,0,
0.00743039,0,-0.0010085,0.0107916,0,0,
-0.00113294,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 20
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
0.785398,0.785398,1.5708,3.09416,1.64979e-17,-0.0253763,
-1.5708,0.785398,1.5708,4.21713,1.28528,-0.0244766,
1.5708,0.785398,1.5708,0.582566,0.241279,0.00672092,
1.0472,0.785398,1.5708,0.0344582,-7.63614e-19,0.00175784,
1.0472,0.785398,1.5708,-0.0204659,-0.0249415,0.00233836,
1.0472,0.785398,1.5708,0.000198543,0,-2.13683e-05,
Inertia Matrix
1.56307,0.551618,-0.139706,0.0110904,0,0,
0.551618,1.34641,-0.0162016,0,0.000270449,0,
-0.139706,-0.0162016,0.369296,-0.0010085,0.000581345,0,
0.0110904,0,-0.0010085,0.0107916,0,0,
0,0.000270449,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 21
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
1.5708,0.785398,1.5708,3.92475,4.09842e-17,-0.0380992,
-1.5708,0.785398,1.5708,7.85151,0.802721,0.0222864,
-1.5708,0.785398,1.5708,1.74045,-0.241279,-0.00281025,
1.0472,0.785398,1.5708,-0.00640275,-7.387e-19,-0.00133147,
1.0472,0.785398,1.5708,0.0285012,0.0249415,2.67539e-05,
1.0472,0.785398,1.5708,0.000221185,0,6.4105e-05,
Inertia Matrix
1.56307,0.83103,0.139706,-0.0110904,0.000133352,0,
0.83103,2.88841,0.754795,-0.00194119,0.000892241,0,
0.139706,0.754795,0.369296,-0.0010085,0.000581345,0,
-0.0110904,-0.00194119,-0.0010085,0.0107916,0,0,
0.000133352,0.000892241,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 22
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
1.5708,0.785398,1.5708,4.57662,-1.46648e-15,0.493055,
-1.5708,0.785398,1.5708,12.8862,7.18623,-0.767896,
-0.785398,0.785398,1.5708,7.95583,6.14223,0.0551688,
1.0472,0.785398,1.5708,-0.00701947,-0.0152735,0.00844051,
1.0472,0.785398,1.5708,0.0238502,0.0227275,0.000621888,
1.0472,0.785398,1.5708,0.000245831,0,6.03113e-05,
Inertia Matrix
1.71495,0.792625,0.101301,-0.00825382,0,0,
0.792625,2.67732,0.649252,-0.00166801,0,0,
0.101301,0.649252,0.369296,-0.0010085,0.000581345,0,
-0.00825382,-0.00166801,-0.0010085,0.0107916,0,0,
0,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 23
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
1.5708,0.785398,1.5708,4.22511,-4.45614e-16,0.165111,
-1.5708,0.785398,1.5708,14.0452,9.9717,-0.970924,
0,0.785398,1.5708,10.3292,8.9277,0.219949,
1.0472,0.785398,1.5708,0.00424134,-0.0216,0.0129414,
1.0472,0.785398,1.5708,0.00792887,0.0072,0.00189281,
1.0472,0.785398,1.5708,0.000249408,0,3.37053e-05,
Inertia Matrix
1.88827,0.694879,0.00355529,0,-0.00146886,0,
0.694879,2.13825,0.379715,-0.0010085,0,0,
0.00355529,0.379715,0.369296,-0.0010085,0.000581345,0,
0,-0.0010085,-0.0010085,0.0107916,0,0,
-0.00146886,0,0.000581345,0,0.00064216,0,
0,0,0,0,0,0,



SO THU TU: 24
Angles 1 - 6, Velocity 1 - 6, Acc 1 - 6, Moment 1 - 6, Gravity 1 - 6, Coriolis 1 - 6
1.5708,0.785398,1.5708,3.22144,2.32353e-16,-0.299491,
-1.5708,0.785398,1.5708,10.5169,7.52745,-0.600362,
0.785398,0.785398,1.5708,7.33768,6.48345,0.262509,
1.0472,0.785398,1.5708,0.0212515,-0.0152735,0.0100029,
1.0472,0.785398,1.5708,-0.010583,-0.0125452,0.00244827,
1.0472,0.785398,1.5708,0.000229821,0,-1.27468e-07,
Inertia Matrix
1.73639,0.595051,-0.0962733,0.00743039,-0.00113294,0,
0.595051,1.58697,0.104075,0,0,0,
